q_table1.csv,24,7,51
q_table10.csv,8,2,16
q_table100.csv,16,4,32
q_table11.csv,28,13,64
q_table12.csv,16,5,34
q_table13.csv,28,8,60
q_table14.csv,14,4,28
q_table15.csv,6,2,14
q_table16.csv,6,1,17
q_table17.csv,10,4,23
q_table18.csv,6,3,18
q_table19.csv,18,6,38
q_table2.csv,10,3,21
q_table20.csv,20,5,43
q_table21.csv,32,13,70
q_table22.csv,14,4,38
q_table23.csv,10,4,27
q_table24.csv,14,5,25
q_table25.csv,10,4,19
q_table26.csv,20,7,42
q_table27.csv,18,4,47
q_table28.csv,14,6,33
q_table29.csv,24,8,51
q_table3.csv,18,6,42
q_table30.csv,22,6,49
q_table31.csv,12,4,27
q_table32.csv,16,3,40
q_table33.csv,26,11,59
q_table34.csv,14,5,32
q_table35.csv,26,9,54
q_table36.csv,20,11,44
q_table37.csv,12,5,30
q_table38.csv,6,2,12
q_table39.csv,4,0,8
q_table4.csv,2,0,3
q_table40.csv,10,3,22
q_table41.csv,6,2,10
q_table42.csv,22,5,48
q_table43.csv,10,5,25
q_table44.csv,14,6,26
q_table45.csv,22,10,53
q_table46.csv,34,9,72
q_table47.csv,14,4,29
q_table48.csv,8,3,20
q_table49.csv,22,7,46
q_table5.csv,4,2,8
q_table50.csv,34,13,75
q_table51.csv,4,2,7
q_table52.csv,6,2,13
q_table53.csv,6,2,10
q_table54.csv,20,4,44
q_table55.csv,20,6,40
q_table56.csv,6,1,17
q_table57.csv,28,10,59
q_table58.csv,14,4,31
q_table59.csv,8,3,19
q_table6.csv,18,9,37
q_table60.csv,10,2,21
q_table61.csv,12,6,27
q_table62.csv,20,8,44
q_table63.csv,14,4,28
q_table64.csv,4,2,9
q_table65.csv,32,10,65
q_table66.csv,28,10,63
q_table67.csv,14,5,37
q_table68.csv,24,7,54
q_table69.csv,12,5,30
q_table7.csv,6,3,13
q_table70.csv,24,7,54
q_table71.csv,26,10,58
q_table72.csv,26,9,59
q_table73.csv,18,7,41
q_table74.csv,32,8,67
q_table75.csv,28,9,61
q_table76.csv,20,8,42
q_table77.csv,32,10,66
q_table78.csv,24,10,51
q_table79.csv,6,2,12
q_table8.csv,4,1,8
q_table80.csv,16,6,40
q_table81.csv,14,4,32
q_table82.csv,30,10,60
q_table83.csv,22,4,44
q_table84.csv,14,5,30
q_table85.csv,38,12,80
q_table86.csv,24,7,53
q_table87.csv,14,5,27
q_table88.csv,26,9,54
q_table89.csv,44,18,94
q_table9.csv,24,10,50
q_table90.csv,4,1,9
q_table91.csv,16,7,35
q_table92.csv,18,6,40
q_table93.csv,16,5,38
q_table94.csv,4,2,9
q_table95.csv,6,0,13
q_table96.csv,10,3,19
q_table97.csv,24,7,49
q_table98.csv,26,9,51
q_table99.csv,22,6,45
